close,high,low,open,timestamp,volume
43230,43235,43193,43193,1703740380,0.01445827
43191,43191,43191,43191,1703740440,0.00223022
43251,43251,43194,43194,1703740500,0.13099552
43221,43259,43221,43259,1703740560,0.07845949
43270,43270,43258,43258,1703740620,0.00513000
43262,43290,43262,43272,1703740680,0.60493818
43225,43257,43225,43252,1703740740,1.39169922
43264,43264,43232,43232,1703740800,0.01307000
43264,43264,43264,43264,1703740860,0.00000000
43259,43259,43255,43255,1703740920,0.00736000
43225,43260,43225,43253,1703740980,0.10106090
43209,43209,43205,43205,1703741040,0.01153000
43214,43221,43202,43202,1703741100,0.07664645
43185,43194,43182,43194,1703741160,0.30530605
43186,43186,43180,43182,1703741220,0.00661559
43193,43202,43193,43195,1703741280,0.04547068
43181,43181,43181,43181,1703741340,0.00101000
43231,43231,43194,43201,1703741400,0.01009393
43226,43244,43226,43242,1703741460,0.13614829
43237,43237,43212,43212,1703741520,1.58709289
43231,43235,43231,43235,1703741580,0.12700000
43243,43255,43233,43233,1703741640,0.29761286
43240,43253,43240,43248,1703741700,0.01330970
43255,43255,43224,43224,1703741760,0.13131000
43244,43248,43244,43248,1703741820,0.03604478
43264,43264,43247,43249,1703741880,0.27085159
43257,43268,43257,43268,1703741940,0.00814180
43243,43243,43243,43243,1703742000,0.07100000
43257,43257,43232,43252,1703742060,0.11673465
43251,43255,43239,43255,1703742120,0.18303491
43281,43281,43245,43246,1703742180,0.15348182
43270,43284,43270,43284,1703742240,0.04671934
43289,43289,43268,43269,1703742300,0.76912900
43281,43295,43281,43286,1703742360,0.12126199
43273,43284,43269,43284,1703742420,0.19484250
43256,43271,43256,43271,1703742480,0.06615000
43275,43280,43247,43248,1703742540,0.92807059
43248,43267,43248,43267,1703742600,0.12247683
43220,43249,43219,43248,1703742660,0.22407012
43212,43224,43212,43220,1703742720,0.66364835
43213,43213,43200,43213,1703742780,0.10016999
43224,43224,43222,43222,1703742840,0.00147187
43251,43251,43226,43226,1703742900,0.07073000
43271,43271,43260,43260,1703742960,0.01399100
43246,43271,43246,43267,1703743020,1.11216413
43234,43251,43229,43235,1703743080,0.13928155
43246,43246,43233,43234,1703743140,0.08781337
43216,43236,43213,43236,1703743200,0.24069396
43210,43210,43210,43210,1703743260,0.00664000
43200,43201,43186,43188,1703743320,0.01580933
43187,43187,43180,43187,1703743380,0.02157800
43170,43181,43170,43181,1703743440,6.78449765
43178,43198,43173,43173,1703743500,0.11458000
43192,43192,43188,43189,1703743560,0.07307000
43201,43202,43191,43191,1703743620,0.13993000
43196,43202,43194,43194,1703743680,0.05457451
43191,43196,43191,43196,1703743740,0.10700000
43199,43202,43198,43202,1703743800,0.04068088
43188,43188,43188,43188,1703743860,0.00530000
43187,43187,43187,43187,1703743920,0.01073000
43187,43194,43186,43186,1703743980,0.06451000
43204,43204,43192,43192,1703744040,0.11684000
43181,43190,43181,43190,1703744100,1.00225000
43176,43176,43176,43176,1703744160,0.00120000
43172,43173,43170,43171,1703744220,0.07935582
43160,43171,43160,43170,1703744280,0.71173245
43155,43160,43155,43160,1703744340,0.88938043
43165,43166,43144,43155,1703744400,3.04778917
43173,43173,43157,43167,1703744460,0.00692671
43181,43181,43174,43174,1703744520,0.38398301
43161,43171,43161,43171,1703744580,0.00401000
43150,43154,43150,43152,1703744640,0.50747000
43142,43144,43142,43144,1703744700,0.00803462
43126,43139,43124,43139,1703744760,2.33231148
43118,43125,43118,43124,1703744820,0.63135231
